height,weight,bmi,cat,age,vegNonveg,gender,calorie_intake,food
169,66,23,3,33,0,0,1668,"Breakfast: Oatmeal and raisins- Lunch:Hummus and Veggie Sandwich- Dinner:Grilled Cheese with Tomato, Peppers and Basil"
164,60,22,3,60,1,0,1804,"Breakfast: Vanilla Banana Protein Shake- Lunch: Chicken Celery Sticks- Dinner: 2 Fat Bean and Cheese Burrito"
194,79,20,3,51,1,0,2173,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: Maple Strawberries and Cream- Dinner: Tomato Mozzarella Tuna Melt"
181,73,22,3,16,0,0,1944,"Breakfast: Fruit and Granola Yogurt- Lunch: Fruit salad- Dinner: Pasta with Baby Broccoli and Beans"
156,58,23,3,16,1,0,1800,"Breakfast: Vegetable 3 Egg Scramble- Lunch: Cucumber Turkey Sandwich with Gournay- Dinner: 2 Fat Bean and Cheese Burrito"
159,61,24,3,16,1,0,1635,"Breakfast: 1 Protein Energy Balls- Lunch: Corn Tuna Salad- Dinner: Easy Microwave Sausage, Kale, and White Beans"
195,84,22,3,20,1,0,2462,"Breakfast: Strawberry Oatmeal- Lunch: Cucumber, Tomato, Chicken, and Cheese Sandwich- Dinner: BLT sandwich"
193,95,25,3,41,0,0,2148,"Breakfast: Oatmeal and raisins- Lunch: Tomato and Hummus Pocket Sandwich- Dinner: + Dinner Pita Pizza"
163,58,21,3,18,1,0,2089,"Breakfast: Chicken and Cottage Cheese Sandwich- Lunch: Cucumber Turkey Sandwich with Gournay- Dinner: BBQ Chicken Sandwich"
196,79,20,3,46,1,0,2517,"Breakfast: Orange-Vanilla Protein Smoothie- Lunch: Tuna and Ranch Garden Salad- Dinner: Tomato Mozzarella Tuna Melt"
158,58,23,3,33,0,0,1924,"Breakfast: Bagel with Cream Cheese- Lunch: ALT (Avocado, Lettuce, and Tomato) Sandwiches- Dinner: Pasta Caprice"
179,76,23,3,30,1,0,1881,"Breakfast: Oatmeal banana protein shake- Lunch: Chicken Celery Sticks- Dinner: Pasta with Red Sauce and Mozzarella"
169,56,19,3,27,0,0,2046,"Breakfast: Bagel with Cream Cheese- Lunch: ALT (Avocado, Lettuce, and Tomato) Sandwiches- Dinner: Mama's Best Broiled Tomato Sandwich"
173,60,20,3,32,1,0,1632,"Breakfast: Strawberries and Cream Smoothie- Lunch: Corn Tuna Salad- Dinner: Veggie & chicken salad"
160,50,19,3,46,1,0,1519,"Breakfast: Pecans- Lunch: Cottage Cheese with Spicy Tuna- Dinner: BLT sandwich"
"200,103,25,3,34,1,0,2338,Breakfast: Cranberry-Banana Oatmeal- Lunch: Paleo Avocado Chicken Salad- Dinner:Spicy Chicken Salad"
155,53,22,3,38,0,0,1572,"Breakfast: Strawberry Yogurt and Strawberries- Lunch: Southwestern Salad with Black Beans- Dinner: Grilled Cheese with Tomato, Peppers and Basil"
143,54,26,3,45,0,0,1257,"Breakfast: Oatmeal and peaches- Lunch: Simple Caprese Sandwich- Dinner: Pasta with Red Sauce and Mozzarella, Steamed Broccoli"
196,79,20,3,16,0,0,2749,"Breakfast: Mexican Pepper and Cheese Quesadilla- Lunch: Simple Caprese Sandwich, Almonds- Dinner: + Dinner Pita Pizza"
158,54,21,3,54,0,0,1315,"Breakfast: Peanut Butter Protein Oats, Oranges- Lunch: Bell Pepper and Hummus Snack, Avacado- Dinner: Pasta with Marinara Sauce, Steamed Broccoli with Olive Oil and Parmesan"
188,93,26,3,47,1,0,2050,"Breakfast: Oatmeal banana protein shake- Lunch: Peanut Butter & Carrots, Grapes- Dinner:Almond Butter Chicken Salad Lettuce Wrap"
168,60,21,3,55,1,0,1663,"Breakfast: Oatmeal banana protein shake- Lunch: Barbecue tuna sandwich, Almonds- Dinner:Chicken Kabobs"
163,61,22,3,32,0,0,2027,"Breakfast: Mango Trifle, Cheese On Toast- Lunch: Lemon Avocado Salad- Dinner: Pasta with Red Sauce and Mozzarella, Steamed Broccoli"
154,61,25,3,46,0,0,1417,"Breakfast: Oatmeal and Apples- Lunch:Caprese Salad- Dinner: Mozzarella and Hummus on MultiGrain Flatbread, Zucchini Spears"
182,82,24,3,42,1,0,2459,"Breakfast: Protein Smoothie Bowl- Lunch: Mexican Black Bean and Chicken Stew with Rice- Dinner:Paprika Chicken with Salad"
164,60,22,3,45,0,0,1697,"Breakfast: Banana & Almond Butter Toast- Lunch: Peanut Butter and Honey Sandwich on Rye, Carrots with Hummus- Dinner:Mozzarella and Hummus on MultiGrain Flatbread, Steamed Broccoli with Olive Oil and Parmesan"
173,78,26,3,35,0,0,1830,"Breakfast: Strawberry Oatmeal- Lunch: Peanut Butter and Honey Sandwich on Rye, Yogurt & Strawberries- Dinner:Pasta with Red Sauce and Mozzarella, Steamed Broccoli with Olive Oil and Parmesan"
164,63,23,3,37,1,0,2028,"Breakfast: Chicken and Cottage Cheese Sandwich- Lunch: Peach Protein Smoothie- Dinner: BLT sandwich, Easy Hard-Boiled Eggs"
194,87,23,3,50,0,0,2289,"Breakfast: Bagel with Cream Cheese- Lunch: Tomato and Cheese Wrap,Carrots with Hummus- Dinner: Gourmet Grilled Cheese, Roasted asparagus"
190,86,23,3,33,0,0,2668,"Breakfast:Oatmeal with Milk and Blueberries, Whole wheat toast- Lunch: Simple Caprese Sandwich, Banana- Dinner:Greek Pasta with Tomatoes and White Beans"
169,58,20,3,30,1,0,1590,"Breakfast: Oatmeal banana protein shake- Lunch: Apples and Almond Butter, Yogurt & Strawberries- Dinner: Microwave Parmesan Lemon Chicken and Brussels Sprouts"
194,85,22,3,47,0,0,2283,"Breakfast: Peanut Butter and Honey Oatmeal- Lunch: Tomato and Cheese Wrap- Dinner: Pasta Caprice, Microwaved sweet potato"
179,87,27,3,16,1,0,2097,"Breakfast: Chicken and Cottage Cheese Sandwich- Lunch:Apricot Jam and Almond Butter Sandwich- Dinner:Almond Butter Chicken Salad Lettuce Wrap"
145,42,19,3,51,1,0,1247,"Breakfast: Tropical protein smoothie- Lunch: Chicken Celery Sticks- Dinner: Spicy Chicken Salad"
173,58,19,3,39,1,0,1788,"Breakfast: Chicken and Cottage Cheese Sandwich- Lunch: Turkey, Cheddar, and Mustard Sandwich- Dinner: BBQ Chicken Sandwich, Easy Hard-Boiled Eggs"
181,83,25,3,22,1,0,2028,"Breakfast: Chicken and Cottage Cheese Sandwich- Lunch: Barbecue tuna sandwich, Almonds- Dinner:Gourmet Grilled Cheese"
140,48,24,3,40,1,0,1361,"Breakfast: Spinach, Swiss, and Egg White Omelet, Whole Wheat Toast- Lunch:Spanish-style Toast with Tomato (Pan con tomate)- Dinner: Mozzarella and Hummus on MultiGrain Flatbread, Easy Hard-Boiled Eggs"
